ra,dec,classe,g,i,r,u,z,subclasse,redshift
238.5114,10.623505,GALAXY,29.03126,56.403305,43.691906,16.163420000000002,64.37222299999999,STARFORMING,0.041253
238.66747,10.683013,GALAXY,5.893684,13.009007,9.979527,2.345283,14.501728,STARFORMING,0.035709
238.90496000000002,11.435078,GALAXY,22.645462,74.204018,49.359333,7.089695,86.012665,STARFORMING,0.126247
238.91487999999998,11.63595,GALAXY,11.235585,20.561996,17.103924,5.5628910000000005,15.719151,STARFORMING,0.041508
238.80694,11.549661,GALAXY,12.498418,45.009693,29.400618,4.97115,50.332649,STARFORMING,0.124055
238.50461,11.354954,GALAXY,28.276274,90.438858,61.984821,9.868239,103.897194,STARFORMING,0.152148
238.66002000000003,11.345277000000001,GALAXY,16.490398000000006,58.866516,39.262463,5.013309,71.555313,STARFORMING,0.122382
238.70873999999998,11.359547000000001,GALAXY,16.576859,32.734009,25.022577,10.225231,36.684727,STARFORMING,0.035584
238.54947,11.196532000000001,GALAXY,7.008266000000001,12.719572,10.676389,3.667041,11.128257,STARFORMING,0.034832
238.5638,10.96945,GALAXY,11.852462,37.04546,24.182241,5.720454,49.086876,STARFORMING,0.036082
238.51148999999998,11.101526,GALAXY,24.457697,62.501904,44.135975,11.598369,73.144875,STARFORMING,0.07051
238.59992999999997,10.908551,GALAXY,24.255262,71.575478,49.45277,10.344105,90.882393,STARFORMING,0.041588
238.525,11.129957000000001,GALAXY,18.75539,47.351192,34.257393,7.80465,55.580936,STARFORMING,0.06794800000000001
29.985360999999997,6.9394990000000005,GALAXY,8.820482,53.162102,30.408447,3.439393,79.587868,BROADLINE,0.211444
29.995645,6.3827981,GALAXY,2.020236,13.010044,6.510049,2.298031,19.928785,AGN,0.4572060000000001
173.15635,0.28191516,GALAXY,15.153316,50.690434,32.947483,5.976507,64.12017800000001,STARFORMING,0.141767
241.62411,27.276646999999997,GALAXY,5.226187,20.041807,14.169987,4.183894,27.983484000000004,STARBURST,0.393639
207.04608000000002,33.557493,GALAXY,0.966807,7.2129910000000015,3.160941,0.363577,11.430485,BROADLINE,0.6227590000000001
207.29199,33.513199,GALAXY,1.804825,15.582075,8.52299,0.451503,24.015522,AGN,0.368196
207.38592,34.173848,GALAXY,0.587781,5.432674,2.374487,0.303782,8.914211,AGN,0.5398109999999999
234.54566,4.5187594,GALAXY,13.569016,58.130733,35.646713,4.916398,76.598396,AGN,0.114278
235.41383,4.3530053,GALAXY,10.786832,51.182831,29.335022,4.8248,70.41629,STARFORMING,0.172477
235.37134,4.535652,GALAXY,21.562918,88.538536,54.53906600000001,8.835348,120.223503,STARFORMING,0.13049000000000002
235.49542000000002,4.3481042,GALAXY,19.181711,60.13887800000001,39.552319,8.905128999999997,74.930984,STARFORMING,0.112393
234.89392999999998,4.6386172,GALAXY,21.242657,52.752136,36.291885,11.319816,58.068935,STARBURST,0.109142
235.05806,4.5240049,GALAXY,16.472788,43.967102,30.149584,6.25609,51.839039,STARFORMING,0.066349
235.07291,4.636229599999999,GALAXY,16.707659,42.879086,30.69331,7.473323,52.739647,STARFORMING,0.042064
234.8243,4.7517148,GALAXY,13.820345,47.738918,30.98786,5.660849,60.007992,STARFORMING,0.107578
234.97477,4.644487000000001,GALAXY,12.855868,21.951677,18.045284,7.652452,23.163471,STARBURST,0.039214
234.81534,4.6622822,GALAXY,23.168638,91.887817,59.16048000000001,4.809583,121.814865,STARFORMING,0.109606
